,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
0,0.694,0.585,240166,0.303,0.0,4,0.115,-10.058,1,45UoCqtVh2BR1HteUkmRje,05pKAafT85jeeNhZ6kq7HT,0.0398,136.703,3,0.142
1,0.142,0.773,210667,0.525,0.000222,11,0.221,-11.398,1,45UoCqtVh2BR1HteUkmRje,09pYzzyrc6MsJXuG3K1ruC,0.0385,119.024,4,0.616
2,0.0824,0.472,217000,0.373,0.0,10,0.0915,-9.54,1,45UoCqtVh2BR1HteUkmRje,09xf9RNDZweJOgQmPO34ey,0.028,149.804,4,0.337
3,0.697,0.547,247253,0.39,1.46e-05,7,0.0618,-5.946,1,45UoCqtVh2BR1HteUkmRje,0AZU3CiFFyt5pO5BacwNQV,0.0271,128.728,4,0.477
4,0.544,0.643,244600,0.569,2.17e-05,7,0.178,-7.459,1,45UoCqtVh2BR1HteUkmRje,0B5KeB25moPkcQUnbDvj3t,0.0276,120.507,4,0.275
5,0.938,0.724,151297,0.184,8.23e-05,11,0.11,-11.416,1,45UoCqtVh2BR1HteUkmRje,0BsZR0aM6fpH03HzetXuWK,0.0317,112.044,3,0.252
6,0.648,0.45,287307,0.658,3.14e-06,2,0.264,-7.064,1,45UoCqtVh2BR1HteUkmRje,0EMmVUYs9ZZRHtlADB88uz,0.0472,106.799,4,0.781
7,0.726,0.349,246587,0.348,0.0,3,0.12,-6.142,1,45UoCqtVh2BR1HteUkmRje,0HZhYMZOcUzZKSFwPOti6m,0.0316,74.541,4,0.0886
8,0.145,0.675,229813,0.792,0.0,1,0.12,-6.303,1,45UoCqtVh2BR1HteUkmRje,0HnaqUxvHP5LaWdmWwJpiS,0.0368,120.016,4,0.395
9,0.296,0.623,191360,0.417,0.0,0,0.135,-8.699,1,45UoCqtVh2BR1HteUkmRje,0IktbUcnAGrvD03AWnz3Q8,0.0354,130.032,4,0.721
